address,unripeBean3crv
0xa86e29ad86D690f8b5a6A632cAb8405D40A319Fa,1755275296
0x5B29fD05C664e2806a3bd4cdAde11A64bD9E2873,14559148
0x1ecAB1Ab48bf2e0A4332280E0531a8aad34bC974,675539763
0x65D67E60F981ACCD5a8D9F1d20f2Dc23EF40B498,94213136
0xd8388Ad2fF4C781903b6D9F17A60Daf4e919f2ce,18909808200
0xbfc7E3604c3bb518a4A15f8CeEAF06eD48Ac0De2,4536
0xd2aa924591B370a78e022763B82ddcC711D4f2f7,218413
0x6F98dA2D5098604239C07875C6B7Fd583BC520b9,41445929569
0xABC508DdA7517F195e416d77C822A4861961947a,9920
0xc1146f4A68538a35f70c70434313FeF3C4456C33,8885
0x388Bb4D6B0C8e09AFaaF84cDae8123778fadf28c,721842
0x28e5366E2e8D6732bCc474d810CaCcc4d758dce1,715868
0x4432e64624F4c64633466655de3D5132ad407343,3425
0x3bD12E6C72B92C43BD1D2ACD65F8De2E0E335133,306656557
0x38AE800E603F61a43f3B02f5E429b44E32e01D84,999061619
0x7f538566f85310C901172142E8a9a892f0EAf946,2951663131
0xB345720Ab089A6748CCec3b59caF642583e308Bf,438893
0x0DE299534957329688a735d03961dBd848A5f87f,11989480
0x2299BAFf6CCAA8b172e324Bcd5CDb756e7065C59,1792940489
0x23E59a5b174aB23B4D6b8a1b44e60b611B0397B6,1268386914
0x35F105E802DA60D3312e5a89F51453A0c46B9Dad,902079937
0x43599673CBC37E6f0813Df8480Fe7BB34c50f662,158641012
0x43D5472835f5F24dF67eC0f94f1369527e5c8B79,1072936960
0x44043c1E33C76B34C67d09a2fb964C0EEfBaE6B7,167318509
0x49F4ca97f0BBa39425A2975e1FfCcE2587A441B2,1349798740
0x49dfC7999be4e5c938a18676Aa11e96e3bF87ee8,1794879832
0x550586FC064315b54af25024415786843131c8c1,490128286
0x5E4fa37a2308FE6152c0B0EbD29fb538A06332b8,154969051
0x7D1589685F02502e628E60394D21AAF835EE25EE,3967370101
0x86FAd5a4C85EA88C3A8cC433fdCfDA326C35CA34,2293519887
0xAD503B72FC36A699BF849bB2ed4c3dB1967A73da,113780167275
0xAeB9A1fddC21b1624f5ed6AcC22D659fc0e381CA,8867779254
0xB3982fdc4bA9C5549F900f851D1564B80c054864,159322541
0xC343B82Abcc6C0E60494a0F96a58f6F102B58F32,710039824
0xCB218f2638185d13758592f87A0A9732A83f29f5,1799487166
0xD717E96bC764E9644e2f09bed46C71E53240748E,305891353
0xEc51Ea752664C14FCC356be60CC143B5aCB81428,592197611
0xF6aF57C78B8635f7a3413fBB477DE47cAd01DcCf,1218327659
0xb66889B1257381Bcc9ee00461E29930BD53A08bF,3650263547
0xbbD78233f019E3774bAA601B613ceA31bBddD4bf,14223898262
0xbeA2b910EE89eD59a160A60e75E3e1FF5047389C,1818430906
0xc93678EC2b974a7aE280341cEFeb85984a29FFF7,28760879
0xd45EFb53298814b63B0d06A06237c22e3191eF19,1353941018
0xd885881F6928Af7D3549c5D37908DF673D83568F,886165063
0xf55F7118fa68ae5a52e0B2d519BfFcbDb7387AFA,1539014138
0xaed7Ae5288DB82dB2575De216eDC443bC8764a07,9831080
0x0E38A4b9B58AbD2f4c9B2D5486ba047a47606781,9799343167
0x15390A3C98fa5Ba602F1B428bC21A3059362AFAF,2270424930224
0x3CC6Cc687870C972127E073E05b956A1eE270164,88686936965
0x4F8D7711d18344F86A5F27863051964D333798E2,509106379101
0x4b1b04693a00F74B028215503eE97cC606f4ED66,9694516837
0x5b9A2267a9e9B81FbF01ba10026fCB7B2F7304d3,97766187305
0x5c9d09716404556646B0B4567Cb4621C18581f94,146157004573
0x5ff23E1940e22e6d1AaD8AF99984EC9821BAA423,585298655801
0x8FdD0CF22012a5FEcDbF77eF30d9e9834DC1bf0A,5952210000
0x9241089cf848cB30c6020EE25Cd6a2b28c626744,4051829394
0xAFA2137602A8FA29Ae81D2F9d1357F1358c3E758,5904599593
0xE6F00dDe5F7622298C16A9e39b471D1c1c2De250,98812708723
0xF03C8c6A6aE736AB7089ffe1BbFF5428ec44d91C,48732523653
0xF62405e188Bb9629eD623d60B7c70dCc4e2ABd81,9734732723
0xFA9D9208627ea8c35215F7DF409bF1F5110d2486,38433129887
0xc32e44288A51c864b9c194DFbab6Dc71139A3C4d,3861831047
0xdff24806405f62637E0b44cc2903F1DfC7c111Cd,38918372597
0xef5939492958abb8488ce5A5C68D61Ac29C07732,34742135863